pt_col1,pt_col2
Hyperkinesia neonatal,Hyperkinesia neonatal
Hyperlactacidaemia,Hyperlactacidaemia
Hypermagnesaemia,Hypermagnesaemia
Hypermetabolism,Hypermetabolism
Hypermetropia,Hypermetropia
Hypermobility syndrome,Hypermobility syndrome
Hypernatraemia,Hypernatraemia
Hyperoestrogenism,Hyperoestrogenism
Hyperosmolar state,Hyperosmolar state
Hyperoxalaemia,Hyperoxalaemia
Hyperoxaluria,Hyperoxaluria
Hyperparathyroidism,Hyperparathyroidism
Hyperparathyroidism primary,Hyperparathyroidism primary
Hyperparathyroidism secondary,Hyperparathyroidism secondary
Hyperparathyroidism tertiary,Hyperparathyroidism tertiary
Hyperphagia,Hyperphagia
Hyperphosphataemia,Hyperphosphataemia
Hyperpituitarism,Hyperpituitarism
Hyperplasia,Hyperplasia
Hyperplasia adrenal,Hyperplasia adrenal
Hyperplastic cholecystopathy,Hyperplastic cholecystopathy
Hyperprolactinaemia,Hyperprolactinaemia
Hyperproteinaemia,Hyperproteinaemia
Hyperpyrexia,Hyperpyrexia
Hyperreflexia,Hyperreflexia
Hypersensitivity,Hypersensitivity
Hypersensitivity vasculitis,Hypersensitivity vasculitis
Hypersomnia,Hypersomnia
Hypersplenism,Hypersplenism
Hypersthenuria,Hypersthenuria
Hypertelorism of orbit,Hypertelorism of orbit
Hypertension,Hypertension
Hypertensive cardiomegaly,Hypertensive cardiomegaly
Hypertensive crisis,Hypertensive crisis
Hypertensive encephalopathy,Hypertensive encephalopathy
Hypertensive heart disease,Hypertensive heart disease
Hyperthermia,Hyperthermia
Hyperthermia malignant,Hyperthermia malignant
Hyperthermia therapy,Hyperthermia therapy
Hyperthyroidism,Hyperthyroidism
Hypertonia,Hypertonia
Hypertonic bladder,Hypertonic bladder
Hypertrichosis,Hypertrichosis
Hypertriglyceridaemia,Hypertriglyceridaemia
Hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy
Hypertrophic osteoarthropathy,Hypertrophic osteoarthropathy
Hypertrophic scar,Hypertrophic scar
Hypertrophy,Hypertrophy
Hypertrophy of tongue papillae,Hypertrophy of tongue papillae
Hyperuricaemia,Hyperuricaemia
Hyperventilation,Hyperventilation
Hypervitaminosis,Hypervitaminosis
Hypervitaminosis A,Hypervitaminosis A
Hypervitaminosis D,Hypervitaminosis D
Hypervolaemia,Hypervolaemia
Hyperzincaemia,Hyperzincaemia
Hyphaema,Hyphaema
Hypnagogic hallucination,Hypnagogic hallucination
Hypnopompic hallucination,Hypnopompic hallucination
Hypnotherapy,Hypnotherapy
Hypoaesthesia,Hypoaesthesia
Hypoaesthesia eye,Hypoaesthesia eye
Hypoalbuminaemia,Hypoalbuminaemia
Hypoaldosteronism,Hypoaldosteronism
Hypocalcaemia,Hypocalcaemia
Hypocapnia,Hypocapnia
Hypochloraemia,Hypochloraemia
Hypocholesterolaemia,Hypocholesterolaemia
Hypochondroplasia,Hypochondroplasia
Hypochromic anaemia,Hypochromic anaemia
Hypocoagulable state,Hypocoagulable state
Hypocomplementaemia,Hypocomplementaemia
Hypogammaglobulinaemia,Hypogammaglobulinaemia
Hypogeusia,Hypogeusia
Hypoglycaemia,Hypoglycaemia
Hypoglycaemia neonatal,Hypoglycaemia neonatal
Hypoglycaemia unawareness,Hypoglycaemia unawareness
Hypoglycaemic coma,Hypoglycaemic coma
Hypoglycaemic encephalopathy,Hypoglycaemic encephalopathy
Hypogonadism female,Hypogonadism female
Hypogonadism male,Hypogonadism male
Hypohidrosis,Hypohidrosis
Hypoinsulinaemia postoperative,Hypoinsulinaemia postoperative
Hypokalaemia,Hypokalaemia
Hypokalaemic syndrome,Hypokalaemic syndrome
Hypokinesia,Hypokinesia
Hypokinesia neonatal,Hypokinesia neonatal
Hypolipidaemia,Hypolipidaemia
Hypomagnesaemia,Hypomagnesaemia
Hypomania,Hypomania
Hypomenorrhoea,Hypomenorrhoea
Hypometabolism,Hypometabolism
Hyponatraemia,Hyponatraemia
Hyponatraemic syndrome,Hyponatraemic syndrome
Hypoparathyroidism,Hypoparathyroidism
Hypopharyngeal cancer,Hypopharyngeal cancer
Hypopharyngeal cancer recurrent,Hypopharyngeal cancer recurrent
Hypopharyngeal cancer stage 0,Hypopharyngeal cancer stage 0
Hypopharyngeal cancer stage I,Hypopharyngeal cancer stage I
Hypopharyngeal cancer stage II,Hypopharyngeal cancer stage II
Hypopharyngeal cancer stage III,Hypopharyngeal cancer stage III
Hypopharyngeal cancer stage IV,Hypopharyngeal cancer stage IV
Hypopharyngeal neoplasm benign,Hypopharyngeal neoplasm benign
Hypophosphataemia,Hypophosphataemia
Hypopigmentation of eyelid,Hypopigmentation of eyelid
Hypopituitarism,Hypopituitarism
Hypopituitarism foetal,Hypopituitarism foetal
Hypoplastic anaemia,Hypoplastic anaemia
Hypoplastic left heart syndrome,Hypoplastic left heart syndrome
Hypopnoea,Hypopnoea
Hypoprolactinaemia,Hypoprolactinaemia
Hypoproteinaemia,Hypoproteinaemia
Hypoprothrombinaemia,Hypoprothrombinaemia
Hypopyon,Hypopyon
Hyporeflexia,Hyporeflexia
Hypospadias,Hypospadias
Hyposthenuria,Hyposthenuria
Hypotension,Hypotension
Hypothalamo-pituitary disorder,Hypothalamo-pituitary disorder
Hypothermia,Hypothermia
Hypothyroidism,Hypothyroidism
Hypotonia,Hypotonia
Hypotonia neonatal,Hypotonia neonatal
Hypotonic-hyporesponsive episode,Hypotonic-hyporesponsive episode
Hypotony of eye,Hypotony of eye
Hypotrichosis,Hypotrichosis
Hypotriglyceridaemia,Hypotriglyceridaemia
Hypouricaemia,Hypouricaemia
Hypoventilation,Hypoventilation
Hypoventilation neonatal,Hypoventilation neonatal
Hypovitaminosis,Hypovitaminosis
Hypovolaemia,Hypovolaemia
Hypovolaemic shock,Hypovolaemic shock
Hypoxia,Hypoxia
Hypozincaemia,Hypozincaemia
Hysterectomy,Hysterectomy
Hysterosalpingogram,Hysterosalpingogram
Hysterosalpingogram abnormal,Hysterosalpingogram abnormal
Hysterosalpingogram normal,Hysterosalpingogram normal
Hysterotomy,Hysterotomy
Ichthyosis,Ichthyosis
Ichthyosis acquired,Ichthyosis acquired
Icterus index increased,Icterus index increased
Ideas of reference,Ideas of reference
Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis
Idiopathic urticaria,Idiopathic urticaria
Idiosyncratic alcohol intoxication,Idiosyncratic alcohol intoxication
IgA nephropathy,IgA nephropathy
IIIrd nerve injury,IIIrd nerve injury
IIIrd nerve paralysis,IIIrd nerve paralysis
Ileal atresia,Ileal atresia
Ileal gangrene,Ileal gangrene
Ileal perforation,Ileal perforation
Ileal stenosis,Ileal stenosis
Ileal ulcer,Ileal ulcer
Ileal ulcer perforation,Ileal ulcer perforation
Ileojejunal bypass,Ileojejunal bypass
Ileostomy,Ileostomy
Ileus,Ileus
Ileus paralytic,Ileus paralytic
Ileus spastic,Ileus spastic
Iliac artery embolism,Iliac artery embolism
Ilium fracture,Ilium fracture
Illiteracy,Illiteracy
Illogical thinking,Illogical thinking
Illusion,Illusion
Immature respiratory system,Immature respiratory system
Immobile,Immobile
Immune system disorder,Immune system disorder
Immunisation,Immunisation
Immunisation reaction,Immunisation reaction
Immunodeficiency common variable,Immunodeficiency common variable
Immunodeficiency congenital,Immunodeficiency congenital
Immunoelectrophoresis,Immunoelectrophoresis
Immunoglobulins,Immunoglobulins
Immunoglobulins abnormal,Immunoglobulins abnormal
Immunoglobulins decreased,Immunoglobulins decreased
Immunoglobulins increased,Immunoglobulins increased
Immunoglobulins normal,Immunoglobulins normal
Impaired gastric emptying,Impaired gastric emptying
Impaired healing,Impaired healing
Imperforate hymen,Imperforate hymen
Imperforate oesophagus,Imperforate oesophagus
Impetigo,Impetigo
Impetigo herpetiformis,Impetigo herpetiformis
Implant site reaction,Implant site reaction
Implant tissue necrosis,Implant tissue necrosis
Implantation complication,Implantation complication
Imprisonment,Imprisonment
Imprisonment of relative,Imprisonment of relative
Impulsive behaviour,Impulsive behaviour
Inadequate analgesia,Inadequate analgesia
Inadequate diet,Inadequate diet
Inadequate housing,Inadequate housing
Inadequate lubrication,Inadequate lubrication
Inappropriate affect,Inappropriate affect
Incarcerated hernia,Incarcerated hernia
Incarcerated hernia repair,Incarcerated hernia repair
Incarcerated hiatus hernia,Incarcerated hiatus hernia
Incarcerated inguinal hernia,Incarcerated inguinal hernia
Incest,Incest
Incisional hernia,Incisional hernia
Incisional hernia gangrenous,Incisional hernia gangrenous
Incisional hernia repair,Incisional hernia repair
"Incisional hernia, obstructive","Incisional hernia, obstructive"
Inclusion conjunctivitis,Inclusion conjunctivitis
Incoherent,Incoherent
Incomplete precocious puberty,Incomplete precocious puberty
Incontinence,Incontinence
Incoordinate uterine action,Incoordinate uterine action
Increased appetite,Increased appetite
Increased insulin requirement,Increased insulin requirement
Increased steroid activity,Increased steroid activity
Increased tendency to bruise,Increased tendency to bruise
Indeterminate leprosy,Indeterminate leprosy
Indifference,Indifference
Indirect infection transmission,Indirect infection transmission
Induced labour,Induced labour
Induction and maintenance of anaesthesia,Induction and maintenance of anaesthesia
Induction of anaesthesia,Induction of anaesthesia
Infant,Infant
Infantile colic,Infantile colic
Infantile scurvy,Infantile scurvy
Infantile spasms,Infantile spasms
Infected bunion,Infected bunion
Infected skin ulcer,Infected skin ulcer
Infection,Infection
Infection in an immunocompromised host,Infection in an immunocompromised host
Infection masked,Infection masked
Infection parasitic,Infection parasitic
Infection protozoal,Infection protozoal
Infection susceptibility increased,Infection susceptibility increased
Infection transmission via personal contact,Infection transmission via personal contact
Infection via vaccinee,Infection via vaccinee
Infectious mononucleosis,Infectious mononucleosis
Infective myositis,Infective myositis
Inferiority complex,Inferiority complex
Infertility,Infertility
Infertility female,Infertility female
Infertility male,Infertility male
Infertility tests,Infertility tests
Infiltration anaesthesia,Infiltration anaesthesia
Inflammation scan,Inflammation scan
Inflammatory bowel disease,Inflammatory bowel disease
Inflammatory carcinoma of breast recurrent,Inflammatory carcinoma of breast recurrent
Inflammatory carcinoma of breast stage III,Inflammatory carcinoma of breast stage III
Inflammatory carcinoma of breast stage IV,Inflammatory carcinoma of breast stage IV
Inflammatory carcinoma of the breast,Inflammatory carcinoma of the breast
Influenza,Influenza
Influenza like illness,Influenza like illness
Ingrowing nail,Ingrowing nail
Inguinal hernia,Inguinal hernia
Inguinal hernia gangrenous,Inguinal hernia gangrenous
Inguinal hernia repair,Inguinal hernia repair
"Inguinal hernia, obstructive","Inguinal hernia, obstructive"
Iniencephaly,Iniencephaly
Initial insomnia,Initial insomnia
Injection site abscess,Injection site abscess
Injection site abscess sterile,Injection site abscess sterile
Injection site anaesthesia,Injection site anaesthesia
Injection site atrophy,Injection site atrophy
Injection site bruising,Injection site bruising
Injection site cyst,Injection site cyst
Injection site dermatitis,Injection site dermatitis
Injection site erosion,Injection site erosion
Injection site erythema,Injection site erythema
Injection site extravasation,Injection site extravasation
Injection site fibrosis,Injection site fibrosis
Injection site granuloma,Injection site granuloma
Injection site haematoma,Injection site haematoma
Injection site haemorrhage,Injection site haemorrhage
Injection site hypersensitivity,Injection site hypersensitivity
Injection site hypertrophy,Injection site hypertrophy
Injection site induration,Injection site induration
Injection site infection,Injection site infection
Injection site inflammation,Injection site inflammation
Injection site irritation,Injection site irritation
Injection site mass,Injection site mass
Injection site necrosis,Injection site necrosis
Injection site nerve damage,Injection site nerve damage
Injection site oedema,Injection site oedema
Injection site pain,Injection site pain
Injection site paraesthesia,Injection site paraesthesia
Injection site phlebitis,Injection site phlebitis
Injection site pruritus,Injection site pruritus
Injection site rash,Injection site rash
Injection site reaction,Injection site reaction
Injection site thrombosis,Injection site thrombosis
Injection site ulcer,Injection site ulcer
Injection site urticaria,Injection site urticaria
Injection site vesicles,Injection site vesicles
Injection site warmth,Injection site warmth
Injury,Injury
Injury corneal,Injury corneal
Injury to brachial plexus due to birth trauma,Injury to brachial plexus due to birth trauma
Injury to spinal cord secondary to birth trauma,Injury to spinal cord secondary to birth trauma
Insertion of ambulatory peritoneal catheter,Insertion of ambulatory peritoneal catheter
Insomnia,Insomnia
Inspiratory capacity,Inspiratory capacity
Inspiratory capacity abnormal,Inspiratory capacity abnormal
Inspiratory capacity decreased,Inspiratory capacity decreased
Inspiratory capacity increased,Inspiratory capacity increased
Inspiratory capacity normal,Inspiratory capacity normal
Instillation site pain,Instillation site pain
Insulin autoimmune syndrome,Insulin autoimmune syndrome
Insulin C-peptide,Insulin C-peptide
Insulin C-peptide decreased,Insulin C-peptide decreased
Insulin C-peptide increased,Insulin C-peptide increased
Insulin C-peptide normal,Insulin C-peptide normal
Insulin resistance,Insulin resistance
Insulin resistant diabetes,Insulin resistant diabetes
Insulin tolerance test,Insulin tolerance test
Insulin tolerance test abnormal,Insulin tolerance test abnormal
Insulin tolerance test normal,Insulin tolerance test normal
Insulinoma,Insulinoma
Intelligence increased,Intelligence increased
Intensive care,Intensive care
Intention tremor,Intention tremor
Intentional overdose,Intentional overdose
Intentional self-injury,Intentional self-injury
Intercapillary glomerulosclerosis,Intercapillary glomerulosclerosis
Intercostal neurectomy,Intercostal neurectomy
Interferon gamma decreased,Interferon gamma decreased
Interferon gamma normal,Interferon gamma normal
Interleukin therapy,Interleukin therapy
Intermittent claudication,Intermittent claudication
Intermittent explosive disorder,Intermittent explosive disorder
Internal fixation of fracture,Internal fixation of fracture
International normalised ratio,International normalised ratio
International normalised ratio abnormal,International normalised ratio abnormal
International normalised ratio decreased,International normalised ratio decreased
International normalised ratio increased,International normalised ratio increased
International normalised ratio normal,International normalised ratio normal
Interruption of aortic arch,Interruption of aortic arch
Interstitial lung disease,Interstitial lung disease
Intertrigo,Intertrigo
Interventricular septum rupture,Interventricular septum rupture
Intervertebral disc displacement,Intervertebral disc displacement
Intestinal angina,Intestinal angina
Intestinal dilatation,Intestinal dilatation
Intestinal fistula,Intestinal fistula
Intestinal gangrene,Intestinal gangrene
Intestinal infarction,Intestinal infarction
Intestinal ischaemia,Intestinal ischaemia
Intestinal obstruction,Intestinal obstruction
Intestinal perforation,Intestinal perforation
Intestinal pseudo-obstruction,Intestinal pseudo-obstruction
Intestinal stenosis,Intestinal stenosis
Intestinal T-cell lymphoma recurrent,Intestinal T-cell lymphoma recurrent
Intestinal T-cell lymphoma refractory,Intestinal T-cell lymphoma refractory
Intestinal T-cell lymphoma stage I,Intestinal T-cell lymphoma stage I
Intestinal T-cell lymphoma stage II,Intestinal T-cell lymphoma stage II
Intestinal T-cell lymphoma stage III,Intestinal T-cell lymphoma stage III
Intestinal T-cell lymphoma stage IV,Intestinal T-cell lymphoma stage IV
Intestinal transposition,Intestinal transposition
Intestinal ulcer,Intestinal ulcer
Intra-abdominal haemangioma,Intra-abdominal haemangioma
Intra-amniotic injection,Intra-amniotic injection
Intra-cerebral aneurysm operation,Intra-cerebral aneurysm operation
Intra-cranial lesion excision,Intra-cranial lesion excision
Intra-thoracic aortic aneurysm repair,Intra-thoracic aortic aneurysm repair
Intracranial aneurysm,Intracranial aneurysm
Intracranial haemangioma,Intracranial haemangioma
Intracranial meningioma malignant,Intracranial meningioma malignant
Intracranial pressure increased,Intracranial pressure increased
Intracranial tumour haemorrhage,Intracranial tumour haemorrhage
Intraductal papilloma of breast,Intraductal papilloma of breast
Intraocular pressure decreased,Intraocular pressure decreased
Intraocular pressure increased,Intraocular pressure increased
Intravascular haemolysis,Intravascular haemolysis
